,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599336787,11.0.0.175,UpdateGen,38790,0.5140625000240107,5.526781951999999,0.0364771,0.5881924000000001,478.0,0.971024736,0.106,0.009
3,1599336847,11.0.0.175,UpdateGen,140434,0.656249999965425,6.030708736,0.0691795,1.3513952,815.0,1.703462496,0.106,0.009
5,1599336907,11.0.0.175,UpdateGen,317026,0.8406250000280124,8.883163136,0.0873984,2.1209535,1146.0,2.44193088,0.106,0.009
7,1599336967,11.0.0.175,UpdateGen,568983,1.4359375000003354,11.568304128000001,0.1337972,2.8811855,1470.0,3.180815376,0.247,0.023
9,1599337027,11.0.0.175,UpdateGen,895252,2.18750000001819,11.568828416,0.17782579999999998,3.5821837000000003,1806.0,3.958978464,0.247,0.023
11,1599337087,11.0.0.175,UpdateGen,1297854,1.4796874999410647,15.025459199999998,0.1579567,4.4207623,2150.0,4.757113872,0.247,0.023
13,1599337147,11.0.0.175,UpdateGen,1780035,1.6640624999763531,21.636403199999997,0.18979479999999999,5.2353512,2472.0,5.523036848,0.247,0.023
15,1599337207,11.0.0.175,UpdateGen,2336348,1.9781249999778225,29.387804672,0.2304709,6.012854,2799.0,6.265306688,0.247,0.023
17,1599337267,11.0.0.175,UpdateGen,2963102,2.2765625000011056,33.213009920000005,0.26703390000000005,6.7251399,3141.0,7.01828304,0.791,0.03
19,1599337327,11.0.0.175,UpdateGen,3668212,3.4140624999781437,33.213009920000005,0.3345485,7.5248565,3478.0,7.77390856,0.791,0.03
21,1599337387,11.0.0.175,UpdateGen,4447391,3.732812500002183,33.213403136000004,0.36702,8.2560945,3829.0,8.536951424,0.791,0.03
23,1599337447,11.0.0.175,UpdateGen,5301333,2.954687500032378,39.05193984,0.3473374,9.058366300000001,4181.0,9.341486688,0.791,0.03
25,1599337507,11.0.0.175,UpdateGen,6232040,3.1109375000051216,51.433590783999996,0.3635197,9.8697787,4518.0,10.103150464,0.791,0.03
27,1599337567,11.0.0.175,UpdateGen,7239084,3.4171874999719734,57.171464192,0.41161929999999997,10.5926708,4866.0,10.877144096,1.339,0.041
