,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1598905080,11.0.0.204,UpdateGen,6660,1.343749999999801,5.518372864,0.1455986,3.7998904,29.0,0.068953728,0.168,0.013
3,1598905140,11.0.0.204,UpdateGen,384800,1.5828125000035698,7.64049408,0.1775065,4.576924099999999,359.0,0.703273832,0.168,0.013
5,1598905200,11.0.0.204,UpdateGen,812144,1.7109375000023732,13.747859455999999,0.1944741,4.9632815,690.0,1.305039728,0.168,0.013
7,1598905260,11.0.0.204,UpdateGen,1286262,1.8468749999976666,20.291629056,0.2020211,5.342590400000001,1021.0,1.967777048,0.168,0.013
9,1598905320,11.0.0.204,UpdateGen,1807656,2.9234375000004036,27.674456064,0.2728933,6.0571117,1351.0,2.689242736,0.168,0.013
11,1598905380,11.0.0.204,UpdateGen,2384490,3.07656250000322,34.385997824,0.2857611,6.4371535,1688.0,3.40504116,0.345,0.025
13,1598905440,11.0.0.204,UpdateGen,3007352,3.1640624999977547,34.38639104,0.2978633,6.806686200000001,2017.0,4.048853192,0.345,0.025
15,1598905500,11.0.0.204,UpdateGen,3676124,3.8546875000014182,34.38671872,0.3229215,7.5048591,2361.0,4.72240016,0.345,0.025
17,1598905560,11.0.0.204,UpdateGen,4398250,2.5390625,34.387243008,0.2735284,7.931844900000001,2713.0,5.388140368,0.345,0.025
19,1598905620,11.0.0.204,UpdateGen,5170424,3.3765625000034873,43.145146368,0.3274466,8.296875400000001,3043.0,6.024332072,0.345,0.025
21,1598905680,11.0.0.204,UpdateGen,5990564,3.404687500000122,51.466973184000004,0.34287759999999995,9.0381514,3381.0,6.676266472,1.053,0.038
23,1598905740,11.0.0.204,UpdateGen,6866328,3.1281250000006366,51.467104256,0.3304247,9.4465396,3730.0,7.315912044,1.053,0.038
25,1598905800,11.0.0.204,UpdateGen,7788534,5.160937500000372,51.4673664,0.4376793,9.8510776,4070.0,7.951028344,1.053,0.038
27,1598905860,11.0.0.204,UpdateGen,8757924,3.218749999998053,51.4673664,0.3603166,10.6109875,4417.0,8.5885276,1.053,0.038
29,1598905920,11.0.0.204,UpdateGen,9781370,4.364062499998951,56.634748928,0.42859179999999997,10.908384,4761.0,9.241854536,1.053,0.038
31,1598905980,11.0.0.204,UpdateGen,10853078,4.235937499998386,60.325867519999996,0.438496,11.2654723,5118.0,9.891404672,1.597,0.049
33,1598906040,11.0.0.204,UpdateGen,11968361,3.7999999999971266,60.325933056,0.4363768,12.0824682,5456.0,10.525197184,1.597,0.049
35,1598906100,11.0.0.204,UpdateGen,13143279,3.3890625000014865,60.326064128,0.4172187,12.5153309,5799.0,11.15027004,1.597,0.049
37,1598906160,11.0.0.204,UpdateGen,14366109,4.073437499998818,60.326129664,0.4551639,12.946892400000001,6173.0,11.789104648,1.597,0.049
39,1598906220,11.0.0.204,UpdateGen,15642923,3.8218749999987267,77.17045452800001,0.48717309999999997,13.671586699999999,6523.0,12.49546474,1.597,0.049
41,1598906280,11.0.0.204,UpdateGen,16973007,3.859375000000682,81.93524940799999,0.4863462,14.0118094,6906.0,13.1793177,2.117,0.064
43,1598906340,11.0.0.204,UpdateGen,18349705,4.810937500000136,81.935577088,0.5372405,14.1330364,7285.0,13.914614548,2.117,0.064
45,1598906400,11.0.0.204,UpdateGen,19763129,8.114062500001765,81.93570815999999,0.6694099,14.0613925,7645.0,14.625577484,2.117,0.064
47,1598906460,11.0.0.204,UpdateGen,21130415,4.757812500001805,81.935773696,0.5748233,15.4593887,8050.0,15.197986812,2.117,0.064
49,1598906520,11.0.0.204,UpdateGen,22612411,4.259374999999153,90.995470336,0.5439975,15.9871235,8399.0,15.86284686,2.117,0.064
51,1598906580,11.0.0.204,UpdateGen,24183843,4.399999999998258,96.565506048,0.5653733000000001,16.6704264,8732.0,16.542072188,2.665,0.081
53,1598906640,11.0.0.204,UpdateGen,25814559,4.542187500001646,96.565506048,0.5593483,17.004317,9065.0,17.16022282,2.665,0.081
55,1598906700,11.0.0.204,UpdateGen,27493305,5.4234374999981725,96.565506048,0.6421237,17.5198785,9401.0,17.897160372,2.665,0.081
57,1598906760,11.0.0.204,UpdateGen,29224875,5.532812499997689,96.565506048,0.6669755,18.082454300000002,9744.0,18.621045892,2.665,0.081
59,1598906820,11.0.0.204,UpdateGen,31004717,6.773437500002615,108.577992704,0.7143614,18.3498126,10091.0,19.352072892,2.665,0.081
61,1598906880,11.0.0.204,UpdateGen,32822542,4.63065910453507,114.98688921600001,0.6366991804917049,19.01018558864681,10435.0,20.096832268,3.175,0.094
63,1598906940,11.0.0.204,UpdateGen,34696028,5.01874999999869,114.98688921600001,0.6080465,19.633972399999998,10785.0,20.756374348,3.175,0.094
65,1598907000,11.0.0.204,UpdateGen,36626504,5.082812499998667,114.98688921600001,0.6354875,20.1001457,11113.0,21.47517198,3.175,0.094
67,1598907060,11.0.0.204,UpdateGen,38608986,6.078124999999659,114.986954752,0.7455965999999999,20.452988899999998,11458.0,22.197706588,3.175,0.094
69,1598907120,11.0.0.204,UpdateGen,40633698,5.531250000000782,123.34200831999999,0.7089428000000001,21.1416657,11794.0,22.881240716,3.175,0.094
71,1598907180,11.0.0.204,UpdateGen,42710060,6.968749999998053,130.58976563200002,0.7752993,21.3370341,12127.0,23.57152574,3.719,0.106
73,1598907240,11.0.0.204,UpdateGen,44825430,5.635937500000523,130.58976563200002,0.7015926,22.0344263,12464.0,24.210042468,3.719,0.106
75,1598907300,11.0.0.204,UpdateGen,47004034,5.7187500000037375,130.58996224,0.7650408000000001,22.699790399999998,12794.0,24.901344244,3.719,0.106
77,1598907360,11.0.0.204,UpdateGen,49230918,6.695312499999773,130.58996224,0.8428289,22.990531899999997,13136.0,25.6411109,3.719,0.106
79,1598907420,11.0.0.204,UpdateGen,51505356,6.198437499997439,137.66994739199998,0.8021992,23.404706899999997,13474.0,26.374355604,3.719,0.106
81,1598907480,11.0.0.204,UpdateGen,53822938,7.185937500001955,145.68945664,0.8648963000000001,24.080394,13820.0,27.087425164,4.229,0.119
83,1598907540,11.0.0.204,UpdateGen,56196296,6.629687499998894,145.68945664,0.7439711999999999,24.5212976,14152.0,27.773316236,4.229,0.119
85,1598907600,11.0.0.204,UpdateGen,58614056,6.340624999999704,145.689718784,0.8247158,24.862289,14497.0,28.442533836,4.229,0.119
87,1598907660,11.0.0.204,UpdateGen,61091011,7.545312500005281,145.689718784,0.9684544,25.4100216,14839.0,29.143898852,4.229,0.119
89,1598907720,11.0.0.204,UpdateGen,63608885,7.221875000000182,152.132169728,0.8803895,26.0695664,15177.0,29.839377444,4.229,0.119
