,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599323347,11.0.0.110,UpdateGen,0,0.4250000000138243,5.453774848,0.0192124,0.2024379,0.0,,0.075,0.007
3,1599323407,11.0.0.110,UpdateGen,11758,1.1968750000323922,5.526216703999999,0.0527155,0.9711796,225.0,0.4536672,0.075,0.007
5,1599323467,11.0.0.110,UpdateGen,58766,0.9093750000011056,5.527064576,0.0818505,1.7471388,554.0,1.163037792,0.075,0.007
7,1599323527,11.0.0.110,UpdateGen,181174,1.0578124999756255,5.896884224,0.0974001,2.5251649,881.0,1.80049724,0.248,0.019
9,1599323587,11.0.0.110,UpdateGen,379075,1.103125000026921,6.5683005439999995,0.1137785,3.3011242000000003,1203.0,2.410916744,0.248,0.019
11,1599323647,11.0.0.110,UpdateGen,653155,1.332812499958905,10.5624576,0.14473129999999998,4.0359461,1527.0,3.024721616,0.248,0.019
13,1599323707,11.0.0.110,UpdateGen,1002330,2.5859375000255085,15.260798976,0.1707121,4.8301225,1851.0,3.679169384,0.248,0.019
