,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1598998207,11.0.0.104,UpdateGen,740668,1.1203125000133696,13.4797312,0.1209214,3.4100108,996.0,2.021619104,0.107,0.008
2,1598998267,11.0.0.104,UpdateGen,1133812,1.3968750000072276,18.98377216,0.1534036,4.1895713,1331.0,2.686193504,0.107,0.008
4,1598998327,11.0.0.104,UpdateGen,1603112,2.2703124999998323,24.185430016,0.2266005,4.9443148,1668.0,3.355717836,0.263,0.021
6,1598998387,11.0.0.104,UpdateGen,2142660,3.112500000004303,24.185954304000003,0.2781709,5.636272900000001,2010.0,4.03540546,0.263,0.021
8,1598998447,11.0.0.104,UpdateGen,2759518,2.884374999987344,24.186413056000003,0.2647158,6.4239631,2346.0,4.739969764,0.263,0.021
10,1598998507,11.0.0.104,UpdateGen,3450110,2.1624999999994543,30.260224,0.2579723,7.2119694,2680.0,5.432365012,0.263,0.021
12,1598998567,11.0.0.104,UpdateGen,4215154,2.3062499999991672,40.561631231999996,0.2677644,7.9201725,3022.0,6.065927484,0.263,0.021
14,1598998627,11.0.0.104,UpdateGen,5056488,2.6249999999959215,48.178487296,0.3124033,8.6768055,3361.0,6.710304252,0.915,0.032
16,1598998687,11.0.0.104,UpdateGen,5971204,3.0703124999968026,48.178487296,0.3613518,9.4240184,3698.0,7.425715644,0.915,0.032
18,1598998747,11.0.0.104,UpdateGen,6959908,4.264062499994452,48.178749440000004,0.4209857,10.1295214,4080.0,8.093738516,0.915,0.032
20,1598998807,11.0.0.104,UpdateGen,8023836,3.5656250000056247,48.178880512000006,0.3780235,10.9214332,4434.0,8.784467268,0.915,0.032
