,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599003907,11.0.0.228,UpdateGen,21150,0.9328124999933465,5.517754367999999,0.0909425,2.2394968,62.0,0.109038816,0.141,0.01
3,1599003967,11.0.0.228,UpdateGen,213920,1.187499999996362,5.524570112,0.1058813,2.9990952,403.0,0.879840128,0.141,0.01
5,1599004027,11.0.0.228,UpdateGen,467714,1.3109374999862524,9.150087168,0.133697,3.7659055,737.0,1.636013888,0.141,0.01
7,1599004087,11.0.0.228,UpdateGen,796152,1.4656250000052609,13.714210816,0.1626681,4.5103776,1071.0,2.396015248,0.141,0.01
9,1599004147,11.0.0.228,UpdateGen,1199544,2.429687500014083,19.117981696,0.21868279999999998,5.2573291,1393.0,3.124925632,0.141,0.01
11,1599004207,11.0.0.228,UpdateGen,1676758,2.1218749999980133,24.7222272,0.21370129999999998,6.016656,1732.0,3.865531664,0.301,0.024
13,1599004267,11.0.0.228,UpdateGen,2229080,3.421874999994529,24.722685952,0.3045774,6.754069599999999,2069.0,4.621278616,0.301,0.024
