,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
74,1599431947,11.0.0.178,UpdateGen,28278609,2.3359375000654836,53.616816127999996,0.2774129,7.7071097,12745.0,25.990320484,3.092,0.098
76,1599432007,11.0.0.178,UpdateGen,29035569,2.1124999999665164,53.616816127999996,0.262146,7.7048325,13082.0,26.6435995,3.092,0.098
78,1599432067,11.0.0.178,UpdateGen,29791329,2.3234374999992724,53.616816127999996,0.2652238,7.659548099999999,13418.0,27.362390212,3.238,0.11
80,1599432127,11.0.0.178,UpdateGen,30543969,2.0984375000080036,53.650698240000004,0.2673203,7.637254,13758.0,28.017061588,3.238,0.11
82,1599432187,11.0.0.178,UpdateGen,31296969,2.015624999949054,53.650698240000004,0.24757479999999998,7.6910326,14086.0,28.725727008,3.238,0.11
84,1599432247,11.0.0.178,UpdateGen,32053249,2.0328125000378208,53.650698240000004,0.2658583,7.7352749,14407.0,29.422823136,3.238,0.11
86,1599432307,11.0.0.178,UpdateGen,32803649,2.345312499928724,53.650763776000005,0.28468,7.6853565,14739.0,30.075316608,3.238,0.11
88,1599432367,11.0.0.178,UpdateGen,33554209,2.620312500002896,53.650829312,0.280363,7.6431265999999995,15060.0,30.809856264,3.393,0.126
90,1599432427,11.0.0.178,UpdateGen,34311369,1.9859375001396984,53.818601472,0.2569317,7.7148412,15406.0,31.421513824,3.393,0.126
92,1599432487,11.0.0.178,UpdateGen,35069009,1.9546875000014552,53.818601472,0.2550938,7.7029677,15749.0,32.11314932,3.393,0.126
94,1599432547,11.0.0.178,UpdateGen,35824049,1.959374999969441,53.818667008,0.25986329999999996,7.7055289,16081.0,32.705544296,3.393,0.126
96,1599432607,11.0.0.178,UpdateGen,36578381,1.99374999991052,53.818667008,0.2643256,7.6522193,16414.0,33.277492852,3.393,0.126
98,1599432667,11.0.0.178,UpdateGen,37331021,2.887500000051645,53.818667008,0.28188009999999997,7.6279331,16752.0,33.88348914,3.627,0.139
100,1599432727,11.0.0.178,UpdateGen,38083304,2.243750000015993,54.020059136,0.27162020000000003,7.6717637000000005,17097.0,34.536495012,3.627,0.139
102,1599432787,11.0.0.178,UpdateGen,38837981,2.0875000000705626,54.020059136,0.26179979999999997,7.7328402,17443.0,35.26619884,3.627,0.139
104,1599432847,11.0.0.178,UpdateGen,39593181,1.9718750000901935,54.020124672,0.2614323,7.733844700000001,17782.0,35.971603032,3.627,0.139
106,1599432907,11.0.0.178,UpdateGen,40348061,2.0203125000080178,54.020124672,0.2596561,7.6386474,18115.0,36.683381304,3.627,0.139
108,1599432967,11.0.0.178,UpdateGen,41101741,2.362499999962921,54.020124672,0.2568958,7.6525495999999995,18454.0,37.38817624,3.747,0.151
110,1599433027,11.0.0.178,UpdateGen,41857326,2.142187499975975,53.483319296000005,0.2720162,7.69454,18793.0,38.079886856,3.747,0.151
112,1599433087,11.0.0.178,UpdateGen,42610846,2.4078125000960426,53.483319296000005,0.2858978,7.696313,19124.0,38.781346688,3.747,0.151
114,1599433147,11.0.0.178,UpdateGen,43366603,2.0453124999949353,53.483319296000005,0.2735284,7.7561070999999995,19452.0,39.456387088,3.747,0.151
116,1599433207,11.0.0.178,UpdateGen,44122686,1.984374999992724,53.483319296000005,0.2610278,7.656366,19768.0,40.076139648,3.747,0.151
118,1599433267,11.0.0.178,UpdateGen,44874366,2.214062500024724,53.483319296000005,0.25691189999999997,7.6695327,20096.0,40.709869824,3.843,0.163
120,1599433327,11.0.0.178,UpdateGen,45628126,1.9374999999672724,53.416210432,0.2606395,7.6646678,20428.0,41.365321552,3.843,0.163
122,1599433387,11.0.0.178,UpdateGen,46379966,1.999574957384425,53.416210432,0.2577042704270427,7.627623862386238,20760.0,42.002955772,3.843,0.163
124,1599433447,11.0.0.178,UpdateGen,47131477,2.2265625001091394,53.416210432,0.27904870000000004,7.6477737999999995,21104.0,42.634390312,3.843,0.163
126,1599433507,11.0.0.178,UpdateGen,47883166,2.403125000055269,53.416341504,0.2803162,7.6490914000000005,21444.0,43.263659408,3.843,0.163
