,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599272947,11.0.0.24,UpdateGen,6067,0.6468750000294818,5.52312832,0.0443975,0.7773635999999999,127.0,0.227494336,0.086,0.011
2,1599273007,11.0.0.24,UpdateGen,43110,0.8234374999756255,5.527060479999999,0.0793331,1.9355921999999999,448.0,0.930635336,0.086,0.011
4,1599273067,11.0.0.24,UpdateGen,183552,1.1296874999606814,5.930303488,0.106165,3.0866407999999996,778.0,1.563863736,0.086,0.011
6,1599273127,11.0.0.24,UpdateGen,436098,2.2765625000011056,9.520889856,0.1496742,4.1831221,1100.0,2.22212604,0.086,0.011
8,1599273187,11.0.0.24,UpdateGen,800960,3.4343749999788997,14.655307775999999,0.2667053,5.3266214000000005,1433.0,2.955052824,0.086,0.011
10,1599273247,11.0.0.24,UpdateGen,1277294,3.387500000007975,18.984353792,0.2935755,6.4994881,1773.0,3.703570608,0.25,0.025
12,1599273307,11.0.0.24,UpdateGen,1865390,2.3562500000207223,18.984812544,0.2709609,7.7001637,2118.0,4.438945472,0.25,0.025
14,1599273367,11.0.0.24,UpdateGen,2567973,2.6546875000076398,23.549067264,0.3076,8.822955199999999,2453.0,5.178004816,0.25,0.025
16,1599273427,11.0.0.24,UpdateGen,3385091,3.1453125000007276,34.454585344,0.3617796,10.0816311,2794.0,5.924478288,0.25,0.025
18,1599273487,11.0.0.24,UpdateGen,4315447,3.8158684131110476,46.735638528,0.40061623837616245,11.114146585341466,3136.0,6.639957936,0.25,0.025
20,1599273547,11.0.0.24,UpdateGen,5353727,5.3219678031651085,53.64785152,0.48882811718828123,12.077601439856014,3519.0,7.387564512,0.914,0.036
22,1599273607,11.0.0.24,UpdateGen,6503284,7.209375000002197,53.64785152,0.6039599,12.4776769,3887.0,8.140850656,0.914,0.036
24,1599273667,11.0.0.24,UpdateGen,7727815,5.915625000043292,53.64785152,0.5316099,14.4402164,4285.0,8.852635024,0.914,0.036
26,1599273727,11.0.0.24,UpdateGen,9055024,4.256249999998545,58.446200832,0.5410201,15.7330721,4662.0,9.510336272,1.562,0.047
28,1599273787,11.0.0.24,UpdateGen,10517462,4.459374999960346,60.795011072,0.5850243,16.908891399999998,5025.0,10.187825384,1.562,0.047
30,1599273847,11.0.0.24,UpdateGen,12118618,5.232812500034939,60.795076607999995,0.664549,17.9402621,5363.0,10.879375024,1.562,0.047
32,1599273907,11.0.0.24,UpdateGen,13833249,5.3249999999843425,63.345344512,0.6925749,18.9919819,5707.0,11.554226248,1.562,0.047
34,1599273967,11.0.0.24,UpdateGen,15658502,6.623437499993102,87.135567872,0.7420093000000001,20.279612,6052.0,12.281269,1.562,0.047
36,1599274027,11.0.0.24,UpdateGen,17588473,6.617187500005457,112.402120704,0.8263301999999999,21.2622211,6391.0,13.040622152,2.048,0.065
38,1599274087,11.0.0.24,UpdateGen,19617865,10.826562499987645,115.38853068799999,0.9397638,20.2965228,6738.0,13.743582992,2.048,0.065
40,1599274147,11.0.0.24,UpdateGen,21750520,6.110937500016007,115.38853068799999,0.869425,23.7324023,7080.0,14.451974472,2.048,0.065
42,1599274207,11.0.0.24,UpdateGen,23998246,7.170312499984007,115.38885836799999,1.0151595,24.8879229,7429.0,15.165833304,2.048,0.065
44,1599274267,11.0.0.24,UpdateGen,26390748,8.809375000000713,115.38898943999999,0.9881095999999999,25.8922578,7762.0,15.905150964,2.048,0.065
46,1599274327,11.0.0.24,UpdateGen,28903983,7.537499999998516,147.50071193600002,1.0394454,27.374961,8115.0,16.6508029,2.72,0.08
48,1599274387,11.0.0.24,UpdateGen,31528662,10.571874999959618,151.292428288,1.1250716,26.817508,8455.0,17.38174786,2.72,0.08
50,1599274447,11.0.0.24,UpdateGen,34205278,8.037500000036744,151.292428288,1.1007431,29.4641159,8815.0,18.034013868,2.72,0.08
