,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599452880,11.0.0.33,UpdateGen,0,3.6484374999417923,5.513486336,0.4614442,11.489403,6.0,0.000533248,0.212,0.011
2,1599452940,11.0.0.33,UpdateGen,639588,3.576562500038577,10.459684864,0.47735609999999995,11.4298372,222.0,0.500195584,0.212,0.011
4,1599453000,11.0.0.33,UpdateGen,1766796,3.5921874999621792,25.660628992,0.453415,11.4399587,553.0,1.211662128,0.212,0.011
6,1599453060,11.0.0.33,UpdateGen,2892982,3.6421874999723514,40.760451072,0.4354538,11.4798419,884.0,1.97546004,0.212,0.011
8,1599453120,11.0.0.33,UpdateGen,4019675,5.91093750006624,55.89454848,0.5222365,11.468738400000001,1222.0,2.735469384,0.212,0.011
10,1599453180,11.0.0.33,UpdateGen,5141829,5.668749999967972,60.928565248,0.5028033,11.2739563,1570.0,3.493140456,0.385,0.027
12,1599453240,11.0.0.33,UpdateGen,6257586,6.304687500069122,60.929089536,0.528311,11.3543971,1927.0,4.244392056,0.385,0.027
14,1599453300,11.0.0.33,UpdateGen,7369804,8.170312499933061,60.929744896,0.5014657,11.1470272,2294.0,4.974602016,0.385,0.027
16,1599453360,11.0.0.33,UpdateGen,8481957,3.8500000000567383,60.963495935999994,0.4250543,11.4500075,2663.0,5.679660368,1.377,0.04
18,1599453420,11.0.0.33,UpdateGen,9606411,3.6421875000087027,60.963561471999995,0.43306859999999997,11.5362996,3008.0,6.325035376,1.377,0.04
20,1599453480,11.0.0.33,UpdateGen,10731802,3.4234374999323336,60.594528256,0.4142207,11.5082,3345.0,7.0067414,1.377,0.04
22,1599453540,11.0.0.33,UpdateGen,11860454,3.6015625001527667,60.594593792,0.417912,11.4517108,3668.0,7.617118936,1.377,0.04
24,1599453600,11.0.0.33,UpdateGen,12987640,3.004687499942534,60.963823616,0.391458,11.4781559,3989.0,8.294120484,1.965,0.05
26,1599453660,11.0.0.33,UpdateGen,14116859,3.103124999888692,60.963889152,0.400063,11.4245365,4321.0,9.009399652,1.965,0.05
28,1599453720,11.0.0.33,UpdateGen,15250699,2.9781250000633293,60.527747072,0.3938156,11.547794099999999,4651.0,9.73463906,1.965,0.05
30,1599453780,11.0.0.33,UpdateGen,16383531,3.3812500000567525,60.527812608,0.42089990000000005,11.4787133,4994.0,10.397551588,1.965,0.05
32,1599453840,11.0.0.33,UpdateGen,17513768,3.08906250007567,65.82941286399999,0.414493,11.432443800000001,5341.0,11.077251468,1.965,0.05
34,1599453900,11.0.0.33,UpdateGen,18644602,3.464062499970183,79.586861056,0.41665409999999997,11.4477565,5678.0,11.837548956,2.387,0.068
36,1599453960,11.0.0.33,UpdateGen,19772416,3.2171875000130967,79.586926592,0.4260716,11.5335964,6004.0,12.497328564,2.387,0.068
38,1599454020,11.0.0.33,UpdateGen,20901894,2.9203125000640284,79.587188736,0.4123777,11.4173464,6332.0,13.14808926,2.387,0.068
40,1599454080,11.0.0.33,UpdateGen,22033405,3.0546875000618314,79.58725427200001,0.4015918,11.505797699999999,6673.0,13.874385804,2.387,0.068
42,1599454140,11.0.0.33,UpdateGen,23166505,3.0781249999927383,79.587319808,0.4070876,11.548103900000001,6998.0,14.597532004,2.387,0.068
44,1599454200,11.0.0.33,UpdateGen,24303114,3.0265624999447027,79.620939776,0.4194793,11.5751107,7325.0,15.315735236,2.795,0.078
46,1599454260,11.0.0.33,UpdateGen,25439694,3.315625000032057,79.117688832,0.4242813,11.4932091,7653.0,16.038167196,2.795,0.078
48,1599454320,11.0.0.33,UpdateGen,26572134,3.43281250001381,79.11775436799999,0.43479409999999996,11.4651308,7986.0,16.776530556,2.795,0.078
50,1599454380,11.0.0.33,UpdateGen,27701249,2.9796875000465803,79.11775436799999,0.40385790000000005,11.5579953,8310.0,17.447524588,2.795,0.078
52,1599454440,11.0.0.33,UpdateGen,28831949,2.9890624999825377,79.11775436799999,0.3976787,11.543959800000001,8630.0,18.16359462,2.795,0.078
54,1599454500,11.0.0.33,UpdateGen,29962169,2.8687499999614374,79.65462527999999,0.4124481,11.5292215,8954.0,18.868018316,3.135,0.088
56,1599454560,11.0.0.33,UpdateGen,31094009,2.943750000049448,78.98353664,0.3997313,11.5333692,9277.0,19.573987636,3.135,0.088
58,1599454620,11.0.0.33,UpdateGen,32230589,2.998437499954889,78.98353664,0.40197809999999995,11.4609115,9611.0,20.297627948,3.135,0.088
60,1599454680,11.0.0.33,UpdateGen,33362801,4.595312500041473,78.983602176,0.48554970000000003,11.3761619,9953.0,21.044059308,3.135,0.088
62,1599454740,11.0.0.33,UpdateGen,34489349,3.0124999999679716,78.983667712,0.4034672,11.4457209,10300.0,21.68031378,3.135,0.088
64,1599454800,11.0.0.33,UpdateGen,35615189,2.9406249999010328,79.252103168,0.3803358,11.4823008,10638.0,22.359351588,3.376,0.1
66,1599454860,11.0.0.33,UpdateGen,36748461,2.9406250000283904,79.252103168,0.396813,11.5502883,10974.0,23.045417196,3.376,0.1
68,1599454920,11.0.0.33,UpdateGen,37880781,2.85468750003929,79.25216870400001,0.39953659999999996,11.5435286,11316.0,23.744063468,3.376,0.1
70,1599454980,11.0.0.33,UpdateGen,39009801,2.9531249999672298,79.25216870400001,0.4117442,11.450716199999999,11664.0,24.385689588,3.376,0.1
72,1599455040,11.0.0.33,UpdateGen,40137801,3.3625000000211003,79.25216870400001,0.4341633,11.4337985,11990.0,25.009730044,3.376,0.1
74,1599455100,11.0.0.33,UpdateGen,41264601,2.8828124999563443,79.285723136,0.4022205,11.5166326,12333.0,25.659041204,3.623,0.114
76,1599455160,11.0.0.33,UpdateGen,42393246,2.867187499941778,78.715297792,0.4098128,11.4901868,12678.0,26.27936118,3.623,0.114
78,1599455220,11.0.0.33,UpdateGen,43524066,2.9718749998937426,78.715363328,0.4187631,11.5367405,13014.0,26.972074132,3.623,0.114
80,1599455280,11.0.0.33,UpdateGen,44654826,2.9968749999898137,78.715363328,0.406618,11.4663241,13356.0,27.646491516,3.623,0.114
82,1599455340,11.0.0.33,UpdateGen,45783486,2.9859375000160213,78.71542886399999,0.3979365,11.4413472,13690.0,28.305962276,3.623,0.114
84,1599455400,11.0.0.33,UpdateGen,46914726,3.7078124999970754,78.88346316799999,0.4520918,11.4070668,14016.0,29.008217508,3.823,0.131
86,1599455460,11.0.0.33,UpdateGen,48043266,3.037499999973079,78.648582144,0.4058885,11.3794016,14349.0,29.684912764,3.823,0.131
88,1599455520,11.0.0.33,UpdateGen,49170366,3.1109374999505235,78.648582144,0.39817179999999996,11.4255934,14688.0,30.330124988,3.823,0.131
90,1599455580,11.0.0.33,UpdateGen,50299638,3.0375000000276344,78.64864768000001,0.3957869,11.444659099999999,15018.0,31.039697788,3.823,0.131
92,1599455640,11.0.0.33,UpdateGen,51430878,2.934374999967986,78.64864768000001,0.3990117,11.3698715,15348.0,31.794478036,3.823,0.131
94,1599455700,11.0.0.33,UpdateGen,52556178,3.0031250000138385,78.68220211200001,0.40464940000000005,11.509004599999999,15682.0,32.483700892,3.961,0.139
96,1599455760,11.0.0.33,UpdateGen,53687598,3.4171874999446743,78.682267648,0.4391665,11.431128,16014.0,33.134106452,3.961,0.139
98,1599455820,11.0.0.33,UpdateGen,54814758,3.5281249999752617,78.682267648,0.442076,11.445379800000001,16348.0,33.820535988,3.961,0.139
100,1599455880,11.0.0.33,UpdateGen,55943658,2.9234374999032298,78.682267648,0.418535,11.391779099999999,16692.0,34.468004564,3.961,0.139
102,1599455940,11.0.0.33,UpdateGen,57073458,3.0875000000196593,78.682267648,0.4022421,11.4649204,17032.0,35.174400076,3.961,0.139
104,1599456000,11.0.0.33,UpdateGen,58203978,3.1265625000924047,78.782930944,0.40770409999999996,11.4759863,17359.0,35.927882732,4.093,0.151
106,1599456060,11.0.0.33,UpdateGen,59337858,2.9640625000138243,78.78299648,0.40802279999999996,11.446003900000001,17692.0,36.657101508,4.093,0.151
108,1599456120,11.0.0.33,UpdateGen,60471710,3.0640625000160213,78.783062016,0.4143941,11.4880417,18035.0,37.398461724,4.093,0.151
110,1599456180,11.0.0.33,UpdateGen,61603250,3.3874999999534197,78.783062016,0.43855320000000003,11.4721815,18376.0,38.103777972,4.093,0.151
112,1599456240,11.0.0.33,UpdateGen,62733711,2.8968750000058208,78.783062016,0.3931118,11.4188186,18722.0,38.719838308,4.093,0.151
114,1599456300,11.0.0.33,UpdateGen,63861650,2.9812500000298456,78.85017088000001,0.3895626,11.412837099999999,19071.0,39.392554908,4.205,0.161
116,1599456360,11.0.0.33,UpdateGen,64991510,2.9875000000720604,78.85017088000001,0.4041959,11.502614300000001,19413.0,40.094405908,4.205,0.161
118,1599456420,11.0.0.33,UpdateGen,66124370,2.88593750001381,78.850236416,0.3905289,11.3822343,19754.0,40.767131252,4.205,0.161
120,1599456480,11.0.0.33,UpdateGen,67244030,2.9921875001127916,78.850236416,0.425583,11.3696259,20097.0,41.423187476,4.205,0.161
122,1599456540,11.0.0.33,UpdateGen,68370178,3.47343749994252,78.850236416,0.4364086,11.3673334,20436.0,42.05625314,4.205,0.161
124,1599456600,11.0.0.33,UpdateGen,69495470,2.932812500039276,78.88379084799999,0.4248532,11.3649465,20790.0,42.72147074,4.316,0.173
126,1599456660,11.0.0.33,UpdateGen,70623128,3.0078125000727596,78.447583232,0.4382273,11.3448345,21132.0,43.345935792,4.316,0.173
128,1599456720,11.0.0.33,UpdateGen,71751188,2.98125000001167,78.44764876800001,0.4299502,11.2835975,21474.0,44.020739384,4.316,0.173
130,1599456780,11.0.0.33,UpdateGen,72876488,2.9125000000567525,78.44764876800001,0.4207398,11.223652,21822.0,44.724232872,4.316,0.173
