,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599316327,11.0.0.159,0,9091282,2.81718749998619,58.452824064,3.3863524,0.1608519,28755.0,81.87513086000001,2.437,0.063
1,1599316327,11.0.0.161,2,8095462,3.1671874999938012,58.42044928,3.4290919,0.15648920000000002,25765.0,77.76746318000001,3.963,0.057
2,1599316327,11.0.0.162,1,8099400,2.856250000004337,54.661029888,3.4097912000000004,0.1582931,26320.0,72.140678688,1.949,0.045
3,1599316447,11.0.0.189,1,8642,0.45625000000654836,5.595353088,0.0636195,0.26768640000000005,500.0,6.6777694720000005,0.161,0.019
4,1599316447,11.0.0.190,2,8765,0.432812500016567,5.5279697919999995,0.0613563,0.2592836,502.0,6.693203791999999,0.241,0.026
5,1599316447,11.0.0.191,3,8615,0.3937499999983771,5.59499264,0.0628755,0.26336529999999997,520.0,6.832419263999999,0.388,0.026
6,1599316447,11.0.0.192,0,8789,0.44843749999017746,5.595222016,0.0642834,0.2665187,509.0,6.68334592,0.307,0.027
7,1599316507,11.0.0.189,1,42940,0.5515624999952706,5.5965982720000005,0.2454495,1.0585555,1129.0,7.128140432,0.161,0.019
8,1599316507,11.0.0.190,2,43512,0.5578124999965297,5.52947712,0.273607,1.1744468000000001,1127.0,7.145992732,0.241,0.026
9,1599316507,11.0.0.191,3,42838,0.5328124999868749,5.596172288,0.2534727,1.076385,1136.0,7.2256716039999995,0.388,0.026
10,1599316507,11.0.0.192,0,43299,0.44687500001148805,5.596401664,0.2116825,0.903041,1143.0,7.116803736,0.307,0.027
11,1599316567,11.0.0.189,1,134891,0.7078125000043656,7.006408704,0.442148,1.9696981999999998,2075.0,8.131058196,0.161,0.019
12,1599316567,11.0.0.190,2,134977,0.7328125000049255,7.4759618560000005,0.4729635,2.1056434,2092.0,8.144882428,0.241,0.026
13,1599316567,11.0.0.191,3,134219,0.7390625000152653,7.274483712,0.4693435,2.0387387,2070.0,8.16128546,0.388,0.026
14,1599316567,11.0.0.192,0,134548,0.6656250000150976,6.771396608,0.4226218,1.8348943999999998,2143.0,8.190716776,0.307,0.027
15,1599316627,11.0.0.189,1,282544,0.9296874999836291,11.301769216,0.6366750999999999,2.854517,3127.0,9.560380028,0.161,0.019
16,1599316627,11.0.0.190,2,284282,1.0906250000061988,11.670855679999999,0.6697504,3.0143691,3163.0,9.612813972,0.241,0.026
17,1599316627,11.0.0.191,3,282682,0.9796875000029104,11.804790784,0.6659749,2.9170257000000004,3148.0,9.597509868,0.388,0.026
18,1599316627,11.0.0.192,0,282504,0.8187499999894499,10.899116032,0.6234575,2.7413022000000002,3176.0,9.653247296,0.307,0.027
19,1599316687,11.0.0.189,1,488250,1.0484374999941792,17.107668992,0.8572103000000001,3.8305104,4291.0,11.388870296,0.161,0.019
20,1599316687,11.0.0.190,2,488905,1.4374999999972715,17.678344192,0.8948798,3.9738557,4358.0,11.453624968,0.241,0.026
21,1599316687,11.0.0.191,3,490002,1.1125000000129148,18.046832639999998,0.8848418,3.8872507,4365.0,11.4577363,0.388,0.026
22,1599316687,11.0.0.192,0,488992,1.0156249999909335,16.838971392,0.8204665999999999,3.6400957999999997,4329.0,11.543849124000001,0.307,0.027
23,1599316747,11.0.0.189,1,750372,1.940624999997425,22.409269248,1.0748326000000001,4.7569731,5634.0,13.921745692,0.419,0.03
24,1599316747,11.0.0.190,2,751675,1.9484375000229193,20.564025344,1.1082918,4.8688187,5766.0,14.296364976,0.404,0.04
25,1599316747,11.0.0.191,3,753529,1.5796874999796273,23.58331392,1.0940113,4.83422,5676.0,13.901430104,0.712,0.037
26,1599316747,11.0.0.192,0,751865,1.4515624999921641,24.220946432,1.036369,4.6081721,5614.0,13.946197340000001,0.653,0.038
27,1599316807,11.0.0.189,1,1069930,2.193749999987631,22.409269248,1.281419,5.6605315,7131.0,17.634278408,0.419,0.03
28,1599316807,11.0.0.190,2,1070722,2.387499999990723,20.564025344,1.3209486000000001,5.8120054,7366.0,17.886338556,0.404,0.04
29,1599316807,11.0.0.191,3,1072869,2.5156249999736104,23.583576064,1.3180007,5.711280400000001,7153.0,17.410189872,0.712,0.037
30,1599316807,11.0.0.192,0,1069367,2.3312499999883727,24.221208576000002,1.2633507,5.4831271,6913.0,17.424078148,0.653,0.038
31,1599316867,11.0.0.189,1,1446594,1.7718750000312866,23.046803456000003,1.4539077,6.6036771,8628.0,21.406788935999998,0.419,0.03
32,1599316867,11.0.0.190,2,1447031,1.7671875000269495,27.342020608000002,1.479962,6.7169284000000005,8701.0,21.057592239999998,0.404,0.04
33,1599316867,11.0.0.191,3,1451949,3.575000000005275,23.952805887999997,1.5417018999999998,6.7482481,8779.0,21.581789216,0.712,0.037
34,1599316867,11.0.0.192,0,1444374,2.785937499997999,24.221274112,1.4734893,6.4036973,8481.0,21.4569135,0.653,0.038
35,1599316927,11.0.0.189,1,1879171,2.104687499977473,34.187071488,1.6240508999999999,9.0298165,10020.0,24.752142332,0.419,0.03
36,1599316927,11.0.0.190,2,1880938,1.9953125000120053,38.851452928,1.6680173999999999,8.3978666,10050.0,24.379463756,0.404,0.04
37,1599316927,11.0.0.191,3,1884765,2.156249999979991,35.32834816,1.6818487,9.494067300000001,10290.0,25.02791722,0.712,0.037
38,1599316927,11.0.0.192,0,1878363,2.0624999999790674,32.677187584,1.6323587,7.667781,9976.0,24.939215468,0.653,0.038
