,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1599528420,11.0.0.103,3,2103984,13.721875000037485,59.453915136,5.2698447999999996,22.2296685,4292.0,47.182339303999996,0.497,0.021
1,1599528420,11.0.0.104,2,2103339,13.317187499969819,57.608290304,5.323081,22.4780907,3466.0,36.25913656,0.531,0.024
2,1599528420,11.0.0.105,1,2103184,8.340624999891617,34.858037247999995,5.2687849,22.3233533,3886.0,38.557295855999996,0.491,0.025
3,1599528420,11.0.0.106,0,2106849,11.470312499968713,49.823440896,5.298867400000001,22.2912153,3774.0,36.028708008,0.438,0.026
4,1599528480,11.0.0.103,3,3492939,9.284374999979292,59.454308352,5.4382188,23.0591193,7036.0,62.340950584,0.497,0.021
5,1599528480,11.0.0.104,2,3495756,8.268750000033862,61.668704256,5.3648598,22.8094833,5985.0,51.754096915999995,0.531,0.024
6,1599528480,11.0.0.105,1,3498621,9.782812499961423,61.366366208,5.3616985999999995,22.6740718,5830.0,51.03803791200001,1.411,0.035
7,1599528480,11.0.0.106,0,3498693,10.710937499998181,61.06443776,5.234257,22.2364525,5868.0,48.942559255999996,1.202,0.036
8,1599528540,11.0.0.103,3,4756191,8.215625000048007,61.36717312,5.1592513,21.8760397,9026.0,75.583636204,1.681,0.034
9,1599528540,11.0.0.104,2,4755258,7.442187500028012,61.702848512,5.1312714,21.8018611,7956.0,65.719466668,1.651,0.037
10,1599528540,11.0.0.105,1,4756953,6.498437500067695,61.366431743999996,5.1147872,21.7727593,7410.0,63.759413888,1.411,0.035
11,1599528540,11.0.0.106,0,4761456,6.473437499989814,61.064765439999995,5.135815200000001,21.861768899999998,7745.0,62.425225831999995,1.902,0.048
12,1599528600,11.0.0.103,3,6123477,6.454687500054206,61.368090624,5.3566128,23.073460100000002,11096.0,88.56123736800001,1.681,0.034
13,1599528600,11.0.0.104,2,6122246,8.240624999989464,61.702848512,5.4385733,23.1315075,9783.0,78.818062448,1.651,0.037
14,1599528600,11.0.0.105,1,6125391,6.234375000040032,61.36748032,5.3366724,22.9168321,9213.0,76.543390044,1.971,0.045
15,1599528600,11.0.0.106,0,6127338,6.734375000032713,61.064765439999995,5.354808599999999,22.9396002,9515.0,74.87925466,1.902,0.048
16,1599528660,11.0.0.103,3,7521009,6.934374999991618,61.368614912,5.3559485,22.9165828,13578.0,101.279962232,2.277,0.047
