,time,metric.instance,metric.Router,Raphtory_Router_Output_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1598981347,11.0.0.71,0,158085,1.3078124999997982,7.2731648,0.8649304,3.7160046,1349.0,6.674531848,0.176,0.01
1,1598981347,11.0.0.72,2,158217,0.9624999999997641,6.76993024,0.7584375,3.1924966,1419.0,6.8916307759999995,0.155,0.01
2,1598981347,11.0.0.73,3,157188,1.167187500000196,7.17201408,0.9924096,4.2198565,1360.0,6.815472492,0.111,0.011
3,1598981347,11.0.0.74,1,8121,1.464541045895018,5.521498112,1.0580255974402561,4.475222377762224,317.0,5.20356334,0.152,0.01
4,1598981407,11.0.0.71,0,529380,1.9421875000004576,16.736759808,1.8407471000000002,8.2204786,3095.0,9.825161356,0.176,0.01
5,1598981407,11.0.0.72,2,529350,2.9031250000002586,10.831065088,1.8318921000000001,7.8458065999999995,3042.0,10.551449047999998,0.291,0.022
6,1598981407,11.0.0.73,3,527262,2.2421874999986358,16.60166144,2.0228146000000002,8.7781824,3074.0,9.831591996,0.111,0.011
7,1598981407,11.0.0.74,1,158955,2.2734374999999574,6.065512448,2.0281043999999997,9.0264708,1424.0,6.897240788,0.343,0.02
8,1598981467,11.0.0.71,0,1178434,3.029687500000321,33.414098944,2.9851558,12.9481929,5183.0,15.017255036000002,0.176,0.01
9,1598981467,11.0.0.72,2,1178934,2.804687499999787,25.897725952,2.8892583,12.454749199999998,4793.0,15.62707624,0.291,0.022
10,1598981467,11.0.0.73,3,1176810,3.243750000006031,33.24551168,3.1515233,13.438804699999999,5117.0,15.041755219999999,0.111,0.011
11,1598981467,11.0.0.74,1,529845,3.200304969503904,14.589190144,3.1634114588541147,13.664658734126588,3018.0,9.945231568,0.343,0.02
12,1598981527,11.0.0.71,0,2110980,5.524999999999423,57.574862847999995,4.063305,16.9156834,7268.0,22.492881432,0.46,0.021
13,1598981527,11.0.0.72,2,2110497,3.735937500001114,50.091323392,3.9710494,17.068844,6596.0,22.403882724,0.291,0.022
14,1598981527,11.0.0.73,3,2108187,5.7140624999919964,57.238372352,4.2461222,17.6873308,7181.0,22.119190412,0.413,0.024
15,1598981527,11.0.0.74,1,1180293,5.756250000000108,31.300214784,4.2603336,18.2744944,4826.0,14.913430788,0.343,0.02
16,1598981587,11.0.0.71,0,3277455,8.068750000000975,61.400133632,4.757373,13.0266915,9269.0,33.872352268,0.46,0.021
17,1598981587,11.0.0.72,2,3298581,6.8984375000003695,60.761960448,4.8485564000000005,19.3341784,8633.0,33.12636464,0.803,0.033
18,1598981587,11.0.0.73,3,3298378,6.895312500007563,61.265362943999996,5.118446400000001,20.6990838,9488.0,34.232876072,0.413,0.024
19,1598981587,11.0.0.74,1,2114949,8.310937500000293,55.49387776,4.9366849,14.908393199999999,6701.0,21.741220708,0.343,0.02
20,1598981647,11.0.0.71,0,4693803,15.073437499999812,61.400133632,5.934891,29.4567176,11610.0,47.566683464,3.916,0.031
21,1598981647,11.0.0.72,2,4693785,9.50000000000017,60.761960448,5.7340618,24.986766399999997,10903.0,47.305758860000005,1.527,0.178
22,1598981647,11.0.0.73,3,4693710,6.209375000003092,61.332471808,5.8347615,24.5909487,11280.0,47.552025704,1.357,0.035
23,1598981647,11.0.0.74,1,3303969,6.929687499999304,60.86291456,5.8314606,24.585315899999998,8879.0,33.41574296,0.849,0.03
24,1598981707,11.0.0.71,0,6392595,6.882812500000256,62.038126592,7.0963522,30.9079161,13712.0,60.876873752,4.34,0.041
25,1598981707,11.0.0.72,2,6391827,5.503125000000196,61.030526976000004,7.0747043,30.5268302,12761.0,61.14793086,1.527,0.178
26,1598981707,11.0.0.73,3,6389454,9.40937500001155,61.332733952000005,7.4332513,29.9770842,13344.0,61.943383655999995,1.357,0.035
27,1598981707,11.0.0.74,1,4700664,8.390625000000412,60.963643391999994,7.2010892,27.711887899999997,11284.0,47.5989225,1.665,0.042
28,1598981767,11.0.0.71,0,8428209,7.584375000000264,62.038388736,8.2490254,35.476916100000004,16116.0,75.63037864,4.34,0.041
29,1598981767,11.0.0.72,2,8424003,7.745312500000452,96.66553036799999,8.3574065,35.280083,14761.0,75.97230531599999,1.527,0.178
30,1598981767,11.0.0.73,3,8422783,6.549999999997453,61.366419455999996,8.3758822,34.712264700000006,16040.0,77.163784416,1.937,0.047
31,1598981767,11.0.0.74,1,6398004,8.203124999999162,60.963905536,8.599694099999999,36.491940799999995,13265.0,61.76866058,1.665,0.042
32,1598981827,11.0.0.71,0,10601409,8.757812499999446,104.551919616,8.8995919,38.3708546,18181.0,91.81890636,4.34,0.041
33,1598981827,11.0.0.72,2,10598595,8.445312500000895,152.668008448,9.021172199999999,38.357560799999995,16598.0,92.5159178,1.527,0.178
34,1598981827,11.0.0.73,3,10595937,8.214062499998803,104.215494656,9.0108259,37.9298042,18088.0,93.29253312,1.937,0.047
35,1598981827,11.0.0.74,1,8424309,8.599765023497412,102.403825664,9.012642235776422,37.70763313668633,15464.0,76.2013595,1.665,0.042
36,1598981887,11.0.0.71,0,13148697,9.38750000000013,167.835643904,10.100950699999999,35.6193052,20525.0,109.256729372,4.34,0.041
37,1598981887,11.0.0.72,2,13144353,8.05624999999992,203.234668544,10.057653199999999,44.5502904,18666.0,110.5085388,2.695,0.206
38,1598981887,11.0.0.73,3,13141416,9.360937499989149,168.740732928,10.6520618,38.607243600000004,20201.0,110.601493624,1.937,0.047
39,1598981887,11.0.0.74,1,10600014,8.756250000000307,158.372749312,10.5173265,51.3888464,17550.0,92.35071084,1.665,0.042
40,1598981947,11.0.0.71,0,16064520,9.245312499999585,203.739017216,11.4871314,49.6291369,23204.0,129.077316156,6.052,0.063
41,1598981947,11.0.0.72,2,15821586,12.606250000000344,203.234799616,11.3774172,43.0429947,20760.0,129.44598414799998,2.695,0.206
42,1598981947,11.0.0.73,3,16057677,9.276562500001532,203.603918848,12.1983295,73.7018134,22691.0,128.99012848,3.417,0.072
43,1598981947,11.0.0.74,1,13142448,9.34249674967505,203.4702336,11.513563756375637,50.819236123612356,19998.0,110.7062262,3.113,0.073
44,1598982007,11.0.0.71,0,19262154,10.743749999999608,203.739082752,12.0682738,44.251826799999996,25864.0,150.53580928,6.052,0.063
45,1598982007,11.0.0.72,2,19267323,9.467187499999625,203.235127296,12.2040634,56.8711191,23331.0,152.192550324,2.695,0.206
46,1598982007,11.0.0.73,3,19260132,9.3999999999983,203.603984384,12.5221097,54.349478,25824.0,148.586748284,3.417,0.072
47,1598982007,11.0.0.74,1,16060188,10.28749999999988,203.47036467200002,12.251996199999999,55.1886606,22923.0,130.8982508,3.113,0.073
48,1598982067,11.0.0.71,0,22724973,10.54218750000004,204.141867008,13.1444393,67.0489145,29090.0,172.654016556,7.556,0.077
49,1598982067,11.0.0.72,2,22729314,9.83281250000016,203.872792576,13.1418633,53.4970394,26158.0,174.18186734,4.071,0.218
50,1598982067,11.0.0.73,3,22730707,10.39843750001181,204.040388608,13.356729099999999,49.9917911,28858.0,169.737882972,4.809,0.086
51,1598982067,11.0.0.74,1,19262254,10.49531249999984,203.470430208,13.0815062,59.445491700000005,25885.0,153.498242796,3.113,0.073
52,1598982127,11.0.0.71,0,26453727,10.576562500000236,204.141867008,14.0930526,60.3768891,32469.0,196.20489998399998,7.556,0.077
53,1598982127,11.0.0.72,2,26462094,10.807812500000594,203.872792576,14.4289001,73.5342368,28868.0,197.050226928,4.071,0.218
54,1598982127,11.0.0.73,3,26468325,10.418750000001182,204.040716288,14.7016273,56.3985579,31810.0,190.07583904799998,4.809,0.086
55,1598982127,11.0.0.74,1,22726614,12.115624999999412,204.074541056,14.2949144,60.383776299999994,28997.0,175.158787296,4.369,0.08
56,1598982187,11.0.0.71,0,30469995,17.98593749999894,204.14226022399998,15.019260800000001,47.0861119,35417.0,221.453323408,11.524,0.091
57,1598982187,11.0.0.72,2,30485370,11.692187500000301,204.040761344,15.3275931,66.233516,31717.0,221.745313136,5.615,0.227
58,1598982187,11.0.0.73,3,30487440,10.782812499983265,204.040912896,15.721455800000001,58.1170526,34921.0,211.746933192,5.657,0.095
