1519174803 115539 82427
1519174803 36801 12407
1519174818 172234 337840
1519174820 31108 58306
1519174822 202395 337219
1519174825 40466 14679
1519174830 32411 23337
1519174831 146587 77063
1519174838 385875 75014
1519174863 12439 5095
1519174872 99570 31
1519174887 10208 10208
1519174897 31130 375670
1519174913 5095 12439
1519174921 115515 335619
1519174925 39338 15097
1519174939 69420 202395
1519174939 56581 24143
1519174941 404335 28659
1519174952 70701 102726
1519174953 337840 172234
1519174954 333460 333460
1519174955 113461 56951
1519174957 250483 32767
1519174963 3836 17983
1519174981 127153 27511
1519174983 104286 28659
1519174983 322880 58306
1519174987 77063 146587
1519174989 12407 36801
1519174989 15793 56581
1519175008 267564 10529
1519175012 15793 56581
1519175014 75014 38262
1519175017 61129 1168
1519175024 168477 47346
1519175029 295794 35782
1519175031 322671 324786
1519175032 337840 17603
1519175044 80837 102726
1519175047 56581 15793
1519175048 120772 58306
1519175058 202395 69420
1519175064 398057 35699
1519175068 102726 3836
1519175075 144626 253793
1519175077 299263 27511
1519175084 12439 223481
1519175091 102726 80837
1519175091 4519 26995
1519175099 206836 119643
1519175099 223270 287298
1519175103 340588 101411
1519175104 66224 56783
1519175106 99570 82427
1519175121 94625 94625
1519175123 385490 1168
1519175134 407012 335330
1519175139 80837 107634
1519175140 33856 127153
1519175161 3836 102726
1519175163 12407 130971
1519175165 295658 127153
1519175167 218361 249769
1519175171 34582 24436
1519175180 280660 271886
1519175181 132168 93023
1519175184 60260 405205
1519175187 35782 295794
1519175188 69420 249769
1519175193 322800 58306
1519175198 35472 1168
1519175202 218361 249769
1519175203 299263 407263
1519175207 139141 4537
1519175207 34582 34582
1519175215 69420 202395
1519175230 33856 27511
1519175230 3836 4519
1519175231 182758 371407
1519175235 171376 11810
1519175244 127153 277270
1519175247 204050 170981
1519175259 53261 39341
1519175270 12306 24436
1519175280 82396 197592
1519175282 309956 115515
1519175286 34582 24436
1519175296 375670 31130
1519175303 127153 27511
1519175310 349865 31
1519175316 330006 238232
1519175334 146646 4537
1519175345 404335 118773
1519175350 120070 101411
1519175352 144626 358222
1519175353 37627 37627
1519175370 56581 280660
1519175374 4278 10766
1519175374 69124 10766
1519175378 57725 57725
1519175379 80837 102726
1519175385 33856 33856
1519175387 120070 101411
1519175389 218361 249769
1519175394 19618 17355
1519175402 60588 36381
1519175407 33013 31585
1519175409 171376 216586
1519175412 289827 31
1519175414 57725 57725
1519175415 375670 168272
1519175434 280660 56581
1519175437 132168 93023
1519175440 69124 34230
1519175442 290504 85438
1519175446 114713 359686
1519175450 3836 80837
1519175453 295794 35782
1519175458 118245 283429
1519175458 29405 408229
1519175460 406795 23088
1519175468 144626 38289
1519175474 10766 69124
1519175510 131790 14679
1519175513 7401 9751
1519175515 60260 167082
1519175522 407806 53261
1519175524 144626 253793
1519175525 31585 210519
1519175532 407577 366193
1519175539 54082 88497
1519175545 151732 127153
1519175554 374312 401472
1519175559 55418 193632
1519175561 388685 6719
1519175577 408229 29405
1519175579 25062 188132
1519175579 29405 17603
1519175584 120772 37500
1519175589 322418 15766
1519175589 10766 4278
1519175593 35472 381494
1519175593 127153 295658
1519175603 168272 375670
1519175603 97765 351287
1519175606 151732 39668
1519175606 385875 78077
1519175611 130971 31183
1519175614 363267 150322
1519175614 127153 151732
1519175616 54082 32767
1519175621 28659 80837
1519175621 349259 408353
1519175635 69420 202395
1519175642 188132 4537
1519175643 53261 407806
1519175663 170740 337446
1519175668 391370 150935
1519175670 363267 171687
1519175672 9751 407806
1519175681 102726 80837
1519175685 150935 78142
1519175700 70701 218361
1519175701 122922 122922
1519175707 17603 29405
1519175709 219599 102726
1519175714 95155 212048
1519175714 127153 33856
1519175715 277784 8968
1519175718 85847 44953
1519175734 218361 70701
1519175740 32411 2107
1519175744 4537 146646
1519175752 35782 295794
1519175758 185679 190811
1519175760 407577 366193
1519175761 171376 267564
1519175771 202779 31130
1519175774 3836 102726
1519175779 118245 369875
1519175783 47436 86858
1519175799 19190 153405
1519175800 369099 12439
1519175800 292311 350439
1519175805 403818 17603
1519175807 70839 4537
1519175816 5012 120070
1519175822 26310 12439
1519175823 69420 249769
1519175825 37422 275817
1519175840 3836 103392
1519175843 124115 192202
1519175847 407291 150935
1519175855 202957 651
1519175861 300994 153405
1519175867 363267 150322
1519175869 109938 337446
1519175879 225306 32767
1519175881 261511 57992
1519175895 190811 185679
1519175899 102726 3836
1519175899 277784 31130
1519175900 70701 8968
1519175904 3836 102726
1519175906 10618 11460
1519175909 206836 119643
1519175919 29405 15793
1519175920 104563 153405
1519175922 217402 365228
1519175926 336856 61068
1519175940 295658 127153
1519175943 106909 140398
1519175946 295794 35782
1519175956 300994 300994
1519175958 35782 35782
1519175958 405412 179507
1519175961 307464 369875
1519175962 31130 9751
1519175965 337219 202395
1519175966 56951 116510
1519175968 277784 11810
1519175983 28659 104286
1519175987 287298 223270
1519175993 14190 17603
1519175993 369392 337446
1519175996 8373 24436
1519176001 93023 132168
1519176006 25062 52495
1519176008 202395 337219
1519176008 202957 322671
1519176011 3836 102726
1519176028 47436 76917
1519176034 202779 275817
1519176040 130971 80837
1519176041 217402 365228
1519176049 9751 187042
1519176054 70839 45572
1519176057 35472 407806
1519176070 305860 224623
1519176071 150935 407291
1519176086 146646 4537
1519176087 39197 152305
1519176092 307464 404335
1519176102 171376 238232
1519176104 277784 75014
1519176111 27025 27025
1519176117 153405 300994
1519176120 25062 23337
1519176134 28659 404335
1519176149 25232 201587
1519176149 40418 280764
1519176150 127153 295658
1519176152 111639 75364
1519176163 29138 31
1519176164 153405 19190
1519176178 25062 39668
1519176194 3836 150935
1519176197 307464 404335
1519176204 58726 72268
1519176204 202779 149834
1519176206 35710 23088
1519176220 93844 31
1519176230 196969 8968
1519176232 402845 26995
1519176232 340679 322671
1519176233 223270 287298
1519176240 35782 295794
1519176242 71323 150935
1519176242 9751 31130
1519176249 322208 244366
1519176253 369392 337446
1519176255 151732 58306
1519176257 69420 249769
1519176259 385875 106991
1519176271 40418 280764
1519176272 9751 31130
1519176274 336496 45572
1519176289 4537 146646
1519176293 17836 377064
1519176300 369392 337446
1519176302 182758 171376
1519176309 25688 31
1519176314 223270 287298
1519176315 407806 35472
1519176322 25062 119643
1519176326 407577 349549
