,0,1,2,3,4,5,6,7,8
0,106999.99999999999,123124.99999999999,119148.14814815117,120093.74999999999,124240.0,122273.14814811082,121335.27696785476,122119.14062499999,121349.7942387704
1,129999.99999999999,131749.99999999997,119185.18518518948,124156.24999999999,124272.0,121138.88888885271,122947.52186581206,123929.68749999999,123699.58847745795
2,129999.99999999999,125749.99999999999,121296.2962963,123328.12499999999,121384.0,121708.33333329606,122206.99708447252,122621.09374999999,123345.67901243479
3,111999.99999999999,122999.99999999999,123555.55555555732,122453.12499999999,123576.0,121351.8518518147,121381.92419817555,121695.31249999999,124358.0246914482
4,113999.99999999999,119624.99999999999,127666.66666666791,121984.37499999999,123152.0,122675.92592588864,123752.18658884401,121654.29687499999,122717.42112491617
5,96999.99999999999,126249.99999999999,123444.44444444733,123062.49999999999,123080.0,121060.18518515088,123991.25364423782,122912.10937499999,123259.25925934919
6,122999.99999999999,117624.99999999999,119259.259259263,125062.49999999999,122904.0,123402.77777774213,123236.15160341909,122619.14062499999,122419.75308650949
7,122999.99999999999,119124.99999999999,128370.37037037127,124046.87499999999,124256.0,123439.81481477794,123268.22157426795,122181.64062499999,122249.65706456093
8,108999.99999999999,120624.99999999999,124555.55555555846,121609.37499999999,121728.0,121287.03703700256,119895.04373170513,123439.45312499999,122443.07270241938
9,114999.99999999999,129249.99999999999,122740.7407407429,119406.24999999999,125320.0,124254.62962959138,123874.63556843674,123371.09374999999,122504.80109748225
