,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599324427,11.0.0.125,UpdateGen,41046,0.5015625000032884,5.526994944,0.0355515,0.5856178000000001,483.0,0.89534052,0.162,0.01
3,1599324487,11.0.0.125,UpdateGen,146076,0.7625000000098368,5.5948247040000005,0.0651504,1.3521059,815.0,1.570899536,0.162,0.01
5,1599324547,11.0.0.125,UpdateGen,327075,0.9421875000043798,8.447541248,0.084186,2.1270344,1138.0,2.32708656,0.162,0.01
7,1599324607,11.0.0.125,UpdateGen,582843,1.1062500000116273,12.340576256,0.10805060000000001,2.8832806,1466.0,3.071335904,0.162,0.01
9,1599324667,11.0.0.125,UpdateGen,913435,1.9218750000163567,14.287323136000001,0.163603,3.6167576,1799.0,3.797561432,0.319,0.023
11,1599324727,11.0.0.125,UpdateGen,1316326,2.1687500000189317,14.288830464,0.184755,4.3959402,2126.0,4.574501544,0.319,0.023
