,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
0,1598957407,11.0.0.112,UpdateGen,30640,1.192187499998468,5.595029504,0.0358201,0.5766781999999999,431.0,0.994711024,0.377,0.023
2,1598957467,11.0.0.112,UpdateGen,95028,0.6250000000022595,5.595291648000001,0.0546101,0.9624354,767.0,1.647296448,0.377,0.023
4,1598957527,11.0.0.112,UpdateGen,197215,0.6687500000043798,5.595881472,0.06847339999999999,1.3318876000000002,1103.0,2.35314904,0.377,0.023
6,1598957587,11.0.0.112,UpdateGen,337008,0.7999999999992724,7.6094750719999995,0.0814714,1.7279163,1454.0,3.059466216,0.377,0.023
8,1598957647,11.0.0.112,UpdateGen,515185,0.8578124999939973,10.462191615999998,0.08566839999999999,2.0927516,1814.0,3.807585704,0.377,0.023
10,1598957707,11.0.0.112,UpdateGen,731020,1.5593749999948017,14.455627776,0.1008243,2.4858522,2153.0,4.508683056,0.669,0.033
12,1598957767,11.0.0.112,UpdateGen,983833,1.0812499999951939,14.456020992000001,0.1065165,2.8412725,2497.0,5.230070496,0.669,0.033
14,1598957827,11.0.0.112,UpdateGen,1274751,1.5734375000010914,14.457266176000001,0.14874010000000001,3.2484617,2833.0,5.931390816,0.669,0.033
16,1598957887,11.0.0.112,UpdateGen,1602519,1.3109375000067018,14.558978048,0.137235,3.6114287999999997,3185.0,6.59385244,0.669,0.033
