,time,metric.instance,metric.actor,Raphtory_Spout_Tuples_total,host_load_average,usedMemory,NetworkIn,NetworkOut,mailbox,mailboxTime,cycles,pauses
1,1599339847,11.0.0.237,UpdateGen,16398,0.7093750000422148,5.526765568,0.0189792,0.2028758,312.0,0.55712892,0.144,0.011
3,1599339907,11.0.0.237,UpdateGen,81945,0.6203124999956628,5.527355392,0.051163,0.9723824,639.0,1.219569792,0.144,0.011
5,1599339967,11.0.0.237,UpdateGen,222764,0.8421875000204011,6.76913152,0.0745218,1.7508872,969.0,1.92235324,0.144,0.011
7,1599340027,11.0.0.237,UpdateGen,438914,1.0031249999701828,10.058186752000001,0.0876595,2.5190243,1298.0,2.617848096,0.144,0.011
9,1599340087,11.0.0.237,UpdateGen,730676,1.4312499999960266,14.15241728,0.12356589999999999,3.2792161,1631.0,3.304729792,0.303,0.025
11,1599340147,11.0.0.237,UpdateGen,1097019,1.5437499999916184,14.152810495999999,0.1463209,4.0301701,1960.0,3.971940384,0.303,0.025
13,1599340207,11.0.0.237,UpdateGen,1539136,1.5281249999952422,15.294119936,0.1535292,4.820750599999999,2300.0,4.613840288,0.303,0.025
15,1599340267,11.0.0.237,UpdateGen,2057960,1.6500000000360018,22.542336,0.1796369,5.6801677999999995,2620.0,5.191616664,0.303,0.025
17,1599340327,11.0.0.237,UpdateGen,2652370,1.8515624999508873,30.764089344,0.2056314,6.3854214,2957.0,5.772592456,0.303,0.025
19,1599340387,11.0.0.237,UpdateGen,3320543,2.717187500011306,37.341216767999995,0.26664459999999995,7.1444907,3303.0,6.388393064,0.863,0.034
21,1599340447,11.0.0.237,UpdateGen,4062764,3.2625000000007276,37.341413376,0.3134425,7.8966225,3645.0,7.01245912,0.863,0.034
23,1599340507,11.0.0.237,UpdateGen,4877485,3.689062499961409,37.341741056,0.3573048,8.675286199999999,3983.0,7.665406856,0.863,0.034
